Sample	AODC_cellsmL	Ag_mgL	Al_mgL	As_mgL	Ba_mgL	Be_mgL	Bi_mgL	Boring_depth	Bot_depth	Bot_elevation	Br_mgL	CH4_mM	CO2_mM	Ca_mgL	Cd_mgL	Cl_mgL	Co_mgL	Concentration_nguL	Conductivity_Scm	Cr_mgL	Cs_mgL	Cu_mgL	DIC_mgL	DOC_mgL	DO_mgL	Depth	Elevation	Fe_mgL	Ga_mgL	Iron_mgL	K_mgL	Latitude	Li_mgL	Longitude	Mg_mgL	Mn_mgL	N2O_mM	N2_mM	NO3_mgL	Na_mgL	Ni_mgL	O2_mM	PO4_mgL	Pb_mgL	Redox_mV	SO4_mgL	Screen_height	Se_mgL	Sr_mgL	Sulfide_mgL	Temperature_C	Top_depth	Top_elevation	U_mgL	Zn_mgL	pH	I_all_mgL	S_all_mgL
DP16D_67_11_27_12_02	69200	0.010549	3.444126	0.01073285	0.269124	0.04076825	0.009233179	23.5	22.15	976.57		0.020494537	5.69403948	139.769	0.010447	23.712	0.055654	8.8	661	0.005164317	0.032084238	0.004178164	87.91	2.326	0.26	19.735	978.985	1.932553	0.011049	1.46	5.962144	35.97550029	0.048015	84.27467766	32.34946323	9.392534	0	0.867482833	141.022	29.262	0.241538	0.171485919		0.002761729	-50	64.844	4.83	0.008814142	0.37188	0	17.05	17.32	981.4	0.744412	0.078332	6.67	6038.68486	5515.175305
DP16D_67_11_27_12_10	69200	0.010549	3.444126	0.01073285	0.269124	0.04076825	0.009233179	23.5	22.15	976.57		0.020494537	5.69403948	139.769	0.010447	23.712	0.055654	1.76	661	0.005164317	0.032084238	0.004178164	87.91	2.326	0.26	19.735	978.985	1.932553	0.011049	1.46	5.962144	35.97550029	0.048015	84.27467766	32.34946323	9.392534	0	0.867482833	141.022	29.262	0.241538	0.171485919		0.002761729	-50	64.844	4.83	0.008814142	0.37188	0	17.05	17.32	981.4	0.744412	0.078332	6.67	6038.68486	5515.175305
FW021_46_11_27_12_02	223000	0.010662	114.501	0.01073285	2.073446	0.078521	0.009233179	23	22	982.62		0	8.393592303	3970.124	0.172643	152.313	1.22539	4.06	7967	0.005164317	0.032084238	0.118379	22.27	7.298	0.27	19.615	985.005	0.015966066	0.059522	0.03	28.827	35.97774706	0.226954	84.27203269	117.901	128.452	0.874728338	0.868124877	4506.9	269.202	5.339026	0.179880364		0.003687	387	41.945	4.77	0.012866	1.372827	0.004	16.41	17.23	987.39	3.751466	0.896697	3.43	195596.8382	200786.2834
FW021_46_11_27_12_10	223000	0.010662	114.501	0.01073285	2.073446	0.078521	0.009233179	23	22	982.62		0	8.393592303	3970.124	0.172643	152.313	1.22539	2.78	7967	0.005164317	0.032084238	0.118379	22.27	7.298	0.27	19.615	985.005	0.015966066	0.059522	0.03	28.827	35.97774706	0.226954	84.27203269	117.901	128.452	0.874728338	0.868124877	4506.9	269.202	5.339026	0.179880364		0.003687	387	41.945	4.77	0.012866	1.372827	0.004	16.41	17.23	987.39	3.751466	0.896697	3.43	195596.8382	200786.2834
FW021_7_26_12_02	178000	0.0024		0.0013	1.7965	0.0393	0.0154	23	22	982.62	0			391.552	0.0983	107.5	0.5206	1.73	5390	0.006	0.0265	0.0549	94.9	9	2.48	19.615	985.005	0.0095	0.049	0.08	19.301	35.97774706	0.1054	84.27203269	68.743	75.193			2512.1	172.916	2.3753		0	0.0018	476	13.3	4.77	0.0062	0.9268	0.004	25.07	17.23	987.39	1.4739	0.4932	3.82	107840.9968	99284.7798
FW021_7_26_12_3	178000	0.0024		0.0013	1.7965	0.0393	0.0154	23	22	982.62	0			391.552	0.0983	107.5	0.5206	2.1	5390	0.006	0.0265	0.0549	94.9	9	2.48	19.615	985.005	0.0095	0.049	0.08	19.301	35.97774706	0.1054	84.27203269	68.743	75.193			2512.1	172.916	2.3753		0	0.0018	476	13.3	4.77	0.0062	0.9268	0.004	25.07	17.23	987.39	1.4739	0.4932	3.82	107840.9968	99284.7798
FW104_67_11_14_12_02	220000	0.021213	5.802442	0.005366425	0.321453	0.040071	0.004616589	48	44.44	963.828		0	19.27406227	12146.135	0.122546	244.61	0.134148	1.5	13660	0.011135	0.016265	0.041435	117	6.505	1.18	41.275	966.993	3.19787	0.01447	2.17	88.87	35.97736048	0.070486	84.27356212	233.24	124.075	1.160096236	0.412797105	9068.7	390.798	1.040264	0.105993987		0.004028	185	293.877	6.33	0.004407071	3.361589	0	14.57	38.11	970.158	8.988041	0.201248	5.22	196781.7756	189105.6027
FW104_67_11_14_12_10	220000	0.021213	5.802442	0.005366425	0.321453	0.040071	0.004616589	48	44.44	963.828		0	19.27406227	12146.135	0.122546	244.61	0.134148	1	13660	0.011135	0.016265	0.041435	117	6.505	1.18	41.275	966.993	3.19787	0.01447	2.17	88.87	35.97736048	0.070486	84.27356212	233.24	124.075	1.160096236	0.412797105	9068.7	390.798	1.040264	0.105993987		0.004028	185	293.877	6.33	0.004407071	3.361589	0	14.57	38.11	970.158	8.988041	0.201248	5.22	196781.7756	189105.6027
FW104_7_26_12_02	253000	0.0047		0.0018	0.1999	0.0587	0.0308	48	44.44	963.828	0			1574.356	0.034	186.2	0.0863	1.79	15470	0.0091	0.0529	0.157	198.8	46.5	0.2	41.275	966.993	0.2773	0.006	0.72	100.381	35.97736048	0.0599	84.27356212	230.611	122.765			5584.2	375.869	0.3649		0	0.0026	140	5533.2	6.33	0.0037	2.7914	0.005	31.99	38.11	970.158	34.1523	0.2152	5.91	210987.9976	196406.6127
FW104_7_26_12_3	253000	0.0047		0.0018	0.1999	0.0587	0.0308	48	44.44	963.828	0			1574.356	0.034	186.2	0.0863	1.94	15470	0.0091	0.0529	0.157	198.8	46.5	0.2	41.275	966.993	0.2773	0.006	0.72	100.381	35.97736048	0.0599	84.27356212	230.611	122.765			5584.2	375.869	0.3649		0	0.0026	140	5533.2	6.33	0.0037	2.7914	0.005	31.99	38.11	970.158	34.1523	0.2152	5.91	210987.9976	196406.6127
